CMU_ID_new,CLTV
00000ad1-c87b-4c40-98a8-0f3fe6abc383,91590.7796
0000f5c1-cc87-4b2e-a9a0-546ada09c52a,901610.942
0001f941-46a1-495c-949f-ed651803730a,2163327.79
0003c047-608c-4cdc-b70f-ad4716bfb4a6,1824633.73
0003cee2-1e62-434f-a5b0-e0aca21bc742,37922.1945
0004909e-3dd4-46c7-a469-58edd88d19ee,20880135.6
00080635-6e2c-4fdb-86e7-d5ee04d63257,16743.6164
0009707a-5b51-41b4-a664-e507e071b4cd,663.739277
000e884a-a405-42d5-b44b-f56dd14077bf,1737252.27
000f8600-3094-45ab-8dd1-99cd2a297ea1,30908.0619
0011a997-9b95-4d0e-93ee-f32c9bcd33a5,113540.765
0018a5ec-8b02-4996-89df-d725dda54157,49942.2615
00194e9f-34b7-4894-aa5b-363c9987c9cf,29188225.4
001b77df-10d0-4096-86a4-e4751e34c416,96619.2374
00206bf8-d9d7-4915-97b4-c871ed74a434,394544.218
00256a7b-bb33-4bbe-a762-191e0b8159e1,56908.2191
002d2513-56c1-4e78-9fe9-8d0e7de0ce14,414839.507
002e1e1f-a300-46e6-a582-01116b27eb49,286302.854
003062c8-58be-46e3-aff5-d47cd6e78ae2,2190754.35
0030b839-1662-4bac-b24e-3c67c5340bd1,4803.049
00312c56-0bfc-48b9-950a-14926aac5ed8,189846.402
0032fd2c-345c-48f9-9ca3-60e09978b5a1,134703.495
003309c4-5c08-45b7-a186-da61cec77ad6,4153774.83
00331df6-b53a-4763-b91e-03484690ee66,163378.313
003d97fb-922f-45e0-a6ca-d06e9d9bb103,79619.5176
00401348-77d0-46c8-aad0-89ece8a4d6ae,15070667.6
0045ec27-2fc0-413d-895e-87ceac018847,8090.57775
0045f61d-c102-4a84-870e-17c48ed63032,229083.268
00461589-4e59-4c6f-b7b2-b62293bb04c3,17065.7606
00474855-d0fa-4984-88b7-16487bfe10d4,11163793
00475042-a445-49c2-bfc6-6547df7f6b88,625374.898
00475f0c-cdba-4cc1-8ffa-03fecc5c3099,345111.465
0047bc30-b30f-41bc-8f49-0a3a670ec7df,228927.309
0047c179-eada-47bc-acfd-210ef11c0fa6,94606.2492
